City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Grand Gaube,MU,73.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
6,Arraial Do Cabo,BR,71.56,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
7,Rikitea,PF,72.84,moderate rain,-23.1203,-134.9692,People ThankYou
11,Itapirapua,BR,72.68,overcast clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
12,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
15,Presidente Dutra,BR,73.31,broken clouds,-5.29,-44.49,Pousada Planalto
20,Labuhan,ID,82.17,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
21,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
24,Atuona,PF,78.04,clear sky,-9.8,-139.0333,Villa Enata
26,Nha Trang,VN,77.0,very heavy rain,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
27,Venice,US,73.99,scattered clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
32,Mataura,NZ,71.56,light rain,-46.1927,168.8643,Ellie's Villa
37,Vaini,TO,78.96,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
39,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
41,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
45,La Palma,US,83.71,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
46,Vanimo,PG,85.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
53,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
54,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
55,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
57,Piranhas,BR,72.63,broken clouds,-16.4269,-51.8222,Planalto Hotel
58,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
69,Faanui,PF,79.97,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,Mattru,SL,75.13,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
75,Victoria,HK,70.32,clear sky,22.2855,114.1577,Mini Hotel Central
76,Hithadhoo,MV,82.74,broken clouds,-0.6,73.0833,Scoop Guest House
79,Luwingu,ZM,71.01,broken clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
80,Vilhena,BR,70.25,overcast clouds,-12.7406,-60.1458,Hotel Mirage
82,Mwense,ZM,72.41,scattered clouds,-10.3845,28.698,Mwense Council Guest House
83,Dwarka,IN,78.3,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
84,Soe,ID,77.4,overcast clouds,-9.8607,124.284,Dena Hotel
88,Hobyo,SO,79.84,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
90,Kiunga,PG,79.07,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
91,Apartado,CO,75.34,overcast clouds,7.883,-76.6259,Towers100 Aparta Estudios
100,Banikoara,BJ,80.76,scattered clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
110,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
113,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
114,Meulaboh,ID,77.04,overcast clouds,4.1363,96.1285,Kost Pria
117,Monte Alegre,BR,74.37,broken clouds,-2.0078,-54.0692,Hotel Shekinah
121,Kavieng,PG,85.73,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
122,Kieta,PG,83.95,light rain,-6.2167,155.6333,Uruna Bay Retreat
129,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
133,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
135,Inhambane,MZ,70.54,overcast clouds,-23.865,35.3833,Oceano
138,Bengkulu,ID,74.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Mango,US,71.46,scattered clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
141,Harper,LR,78.06,overcast clouds,4.375,-7.7169,Screensaver
145,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
146,Bull Savanna,JM,76.6,broken clouds,17.8868,-77.5902,Big Red's
154,Ngawen,ID,78.58,overcast clouds,-7.0032,111.3129,MURAI BATU BIRD FARM BASE'CAMP IBF
155,Doha,QA,75.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
156,Manoel Urbano,BR,73.76,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
161,Kahului,US,85.26,clear sky,20.8947,-156.47,Maui Seaside Hotel
166,Tual,ID,84.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
168,Aquiraz,BR,81.18,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
169,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
170,Rodrigues Alves,BR,73.9,overcast clouds,-7.738,-72.6509,Pousada Aconchego
