City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Grand Gaube,MU,-20.0064,57.6608,73.8,77,20,1.99,few clouds
1,Hobart,AU,-42.8794,147.3294,58.05,77,75,5.01,broken clouds
2,Bluff,NZ,-46.6,168.3333,61.54,72,100,9.75,overcast clouds
3,Hokitika,NZ,-42.7167,170.9667,61.88,76,93,3.4,overcast clouds
4,Mosetse,BW,-20.75,26.65,68.97,73,100,10.83,overcast clouds
5,Khomutovka,RU,51.9207,34.5619,31.23,55,95,9.46,overcast clouds
6,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,90,2.3,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,72.84,86,80,17.85,moderate rain
8,Busselton,AU,-33.65,115.3333,59.04,60,35,8.08,scattered clouds
9,Ushuaia,AR,-54.8,-68.3,47.86,76,40,14.97,light rain
10,Korla,CN,41.7597,86.1469,26.82,34,5,0.6,clear sky
11,Itapirapua,BR,-15.8233,-50.6133,72.68,93,91,3.94,overcast clouds
12,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,35,10.6,scattered clouds
13,Isangel,VU,-19.55,169.2667,84.31,74,75,5.75,broken clouds
14,Pangnirtung,CA,66.1451,-65.7125,3.43,77,48,5.44,scattered clouds
15,Presidente Dutra,BR,-5.29,-44.49,73.31,94,73,3.53,broken clouds
16,Hermanus,ZA,-34.4187,19.2345,61.81,85,86,3.76,overcast clouds
17,Kununurra,AU,-15.7667,128.7333,91.38,58,64,5.75,broken clouds
18,Barrow,US,71.2906,-156.7887,17.62,79,90,13.8,overcast clouds
19,Gat,IL,31.61,34.7642,64.4,71,27,3.56,scattered clouds
20,Labuhan,ID,-6.8844,112.2051,82.17,75,100,12.33,overcast clouds
21,Georgetown,MY,5.4112,100.3354,78.73,89,40,3.44,scattered clouds
22,Bethel,US,41.3712,-73.414,55.49,48,1,3.44,clear sky
23,Mount Gambier,AU,-37.8333,140.7667,60.71,63,75,14.97,broken clouds
24,Atuona,PF,-9.8,-139.0333,78.04,76,10,16.26,clear sky
25,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,40,10.36,scattered clouds
26,Nha Trang,VN,12.25,109.1833,77.0,95,100,10.04,very heavy rain
27,Venice,US,27.0998,-82.4543,73.99,82,40,1.01,scattered clouds
28,Meadow Lake,US,34.8014,-106.5436,59.49,18,42,20.42,scattered clouds
29,Severo-Kurilsk,RU,50.6789,156.125,41.56,88,100,29.55,overcast clouds
30,Albany,US,42.6001,-73.9662,48.27,53,34,7.2,scattered clouds
31,Vestmannaeyjar,IS,63.4427,-20.2734,40.44,65,4,8.05,clear sky
32,Mataura,NZ,-46.1927,168.8643,71.56,46,81,5.12,light rain
