City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-11-07 18:14:58,-33.65,115.3333,52.05,85,53,11.59
1,Kapaa,US,2021-11-07 18:12:09,22.0752,-159.319,77.32,80,40,1.99
2,Mataura,NZ,2021-11-07 18:14:59,-46.1927,168.8643,47.48,97,38,1.95
3,Dalvik,IS,2021-11-07 18:14:59,65.9702,-18.5286,31.93,91,100,4.09
4,Klaksvik,FO,2021-11-07 18:15:00,62.2266,-6.589,41.92,67,99,5.66
5,Mar Del Plata,AR,2021-11-07 18:14:53,-38.0023,-57.5575,62.62,82,75,18.99
6,Arraial Do Cabo,BR,2021-11-07 18:15:00,-22.9661,-42.0278,75.06,64,0,13.8
7,Nemuro,JP,2021-11-07 18:14:17,43.3236,145.575,44.13,69,68,7.25
8,Mecca,SA,2021-11-07 18:15:01,21.4267,39.8261,80.46,54,0,2.64
9,Puerto Ayora,EC,2021-11-07 18:15:01,-0.7393,-90.3518,73.36,72,67,11.25
10,Touros,BR,2021-11-07 18:15:03,-5.1989,-35.4608,86.9,62,27,14.81
11,Santa Cruz Del Sur,CU,2021-11-07 18:15:04,20.7147,-77.9956,77.4,77,100,13.67
12,Amel,BE,2021-11-07 18:15:04,50.3514,6.1681,44.82,92,100,10.07
13,Narsaq,GL,2021-11-07 18:15:05,60.9167,-46.05,34.02,73,100,4.54
14,Punta Arenas,CL,2021-11-07 18:15:05,-53.15,-70.9167,53.71,40,0,24.16
15,Balabac,PH,2021-11-07 18:15:06,7.9868,117.0645,81.72,77,99,2.3
16,Bredasdorp,ZA,2021-11-07 18:15:06,-34.5322,20.0403,59.29,67,100,3.44
17,Haines Junction,CA,2021-11-07 18:15:07,60.7522,-137.5108,-0.45,78,19,1.14
18,Cidreira,BR,2021-11-07 18:15:07,-30.1811,-50.2056,66.79,61,4,9.8
19,Nanortalik,GL,2021-11-07 18:15:07,60.1432,-45.2371,30.69,68,100,9.82
20,Tarko-Sale,RU,2021-11-07 18:15:08,64.9225,77.785,33.53,98,100,21.72
21,Byron Bay,AU,2021-11-07 18:15:08,-28.65,153.6167,70.05,95,100,12.68
22,Ushuaia,AR,2021-11-07 18:14:49,-54.8,-68.3,43.47,87,100,2.64
23,Te Anau,NZ,2021-11-07 18:15:08,-45.4167,167.7167,43.95,86,41,1.32
24,Saint George,US,2021-11-07 18:11:01,37.1041,-113.5841,71.55,34,1,1.01
25,Navalmoral De La Mata,ES,2021-11-07 18:15:09,39.8916,-5.5406,50.95,51,7,1.68
26,Talnakh,RU,2021-11-07 18:15:09,69.4865,88.3972,29.57,98,100,4.18
27,Lagoa,PT,2021-11-07 18:15:09,39.05,-27.9833,68.67,81,5,29.35
28,Albany,US,2021-11-07 18:11:43,42.6001,-73.9662,57.67,48,0,1.19
29,Carnarvon,AU,2021-11-07 18:11:28,-24.8667,113.6333,66.27,68,11,19.57
30,Poum,NC,2021-11-07 18:15:10,-20.2333,164.0167,74.12,76,75,8.72
31,Bluff,NZ,2021-11-07 18:15:10,-46.6,168.3333,47.8,90,53,5.99
32,Andenes,NO,2021-11-07 18:15:10,69.3143,16.1194,35.58,80,75,12.66
33,Cocorit,MX,2021-11-07 18:15:11,27.5833,-109.9667,88.09,21,56,3.18
34,Saskylakh,RU,2021-11-07 18:15:11,71.9167,114.0833,7.27,93,100,14.43
